CustomerKey,Recency,Frequency,Monetary_Value,RS,FS,MS,RFM_Segment,Customer_Segment
11000,255,3,8248.99,2,5,5,255,At risk
11001,34,3,6383.879999999999,5,5,5,555,Champions
11002,324,3,8114.039999999999,1,5,5,155,Can't loose them
11003,248,3,8139.289999999999,2,5,5,255,At risk
11004,257,3,8196.009999999998,2,5,5,255,At risk
11005,256,3,8121.33,2,5,5,255,At risk
11006,244,3,8119.029999999999,2,5,5,255,At risk
11007,300,3,8211.0,1,5,5,155,Can't loose them
11008,317,3,8106.3099999999995,1,5,5,155,Can't loose them
11009,249,3,8091.33,2,5,5,255,At risk
11010,235,3,8088.039999999999,2,5,5,255,At risk
11011,300,3,8133.039999999999,1,5,5,155,Can't loose them
11012,90,2,81.26,4,4,2,442,Potential loyalists
11013,3,2,113.96000000000001,5,4,3,543,Loyal customers
11014,258,2,138.45000000000002,2,4,3,243,At risk
11015,360,1,2500.97,1,1,4,114,Can't loose them
11016,338,1,2332.2799999999997,1,1,4,114,Can't loose them
11017,91,3,6434.3099999999995,4,5,5,455,Champions
11018,81,3,6533.279999999999,4,5,5,455,Champions
11019,8,17,882.6999999999999,5,5,3,553,Potential loyalists
11020,380,1,2316.97,1,1,4,114,Can't loose them
11021,355,1,2371.9599999999996,1,1,4,114,Can't loose them
11022,358,1,2322.2799999999997,1,1,4,114,Can't loose them
11023,7,2,122.24000000000001,5,4,3,543,Loyal customers
11024,171,2,56.510000000000005,3,4,2,342,Potential loyalists
11025,80,3,6576.799999999999,4,5,5,455,Champions
11026,90,3,6575.789999999999,4,5,5,455,Champions
11027,81,3,6591.569999999999,4,5,5,455,Champions
11028,98,3,6474.62,4,5,5,455,Champions
11029,63,3,6565.289999999999,4,5,5,455,Champions
11030,65,3,6471.32,4,5,5,455,Champions
11031,61,3,6478.599999999999,4,5,5,455,Champions
11032,66,3,6525.5599999999995,4,5,5,455,Champions
11033,69,3,6495.289999999999,4,5,5,455,Champions
11034,64,3,6491.32,4,5,5,455,Champions
11035,59,3,6451.3099999999995,4,5,5,455,Champions
11036,356,1,2354.9799999999996,1,1,4,114,Can't loose them
11037,358,1,2374.229999999999,1,1,4,114,Can't loose them
11038,62,3,6437.33,4,5,5,455,Champions
11039,63,3,6636.579999999999,4,5,5,455,Champions
11040,285,1,2350.9599999999996,1,1,4,114,Can't loose them
11041,364,1,2380.47,1,1,4,114,Can't loose them
11042,88,2,3112.3299999999995,4,4,4,444,Loyal customers
11043,148,2,47.980000000000004,3,4,2,342,Potential loyalists
11044,66,3,6515.299999999999,4,5,5,455,Champions
11045,76,2,114.96000000000001,4,4,3,443,Need attention
11046,62,3,6616.8099999999995,4,5,5,455,Champions
11047,55,3,6582.33,5,5,5,555,Champions
11048,19,3,6498.24,5,5,5,555,Champions
11049,76,2,81.26,4,4,2,442,Potential loyalists
11050,55,3,5007.299999999999,5,5,5,555,Champions
11051,13,2,123.94999999999999,5,4,3,543,Loyal customers
11052,231,3,8131.32,2,5,5,255,At risk
11053,361,1,2329.9799999999996,1,1,4,114,Can't loose them
